isbn,list_referencetype,referenceid,pdf_name,author,title,journal,volume,issue,pages,year,url,booktitle,chapter,editor,publisher,placepublished,author_year
,Journal Article,DL00180_Hill,,"Hill, K.; Boesch, C.; Goodall, J.; Pusey, A.; Williams, J.; Wrangham, R.",Mortality rates among wild chimpanzees,Journal of Human Evolution,40,,437-450,2001,http://dx.doi.org/10.1006/jhev.2001.0469,,,,,,Hill_2001c
,Journal Article,DL00181_Sugiyama,,"Sugiyama, Y.","Age-specific birth rate and lifetime reproductive success of Chimpanzees at Bosou, Guinea",American Journal of Primatology,32,4,311--318,1994,http://dx.doi.org/10.1002/ajp.1350320408,,,,,,Sugiyama_1994
,Journal Article,DL00183_Courtenay,,"Courtenay, J.; Santow, G.",Mortality of wild and captive Chimpanzees,Folia Primatologica,52,3--4,167--177,1989,http://dx.doi.org/10.1159/000156395,,,,,,Courtenay_1989
,Journal Article,DL00185_Packer,,"Packer, C.; Tatar, M.; Collins, A.",Reproductive cessation in female mammals,Nature,392,6678,807--811,1998,http://dx.doi.org/10.1038/33910,,,,,,Packer_1998
0027-8424,Journal Article,DL00187_Bronikowski,,"Bronikowski, A. M.; Alberts, S. C.; Altmann, J.; Packer, C.; Carey, K. D.; Tatar, M.",The aging baboon: Comparative demography in a non-human primate,Proceedings of the National Academy of Sciences of the United States of America,99,14,9591--9595,2002,http://dx.doi.org/10.1073/pnas.142675599,,,,,,Bronikowski_2002
,Journal Article,DL00189_Schug,,"Schug, M. D.; Vessey, S. H.; Korytko, A. I.",Longevity and survival in a population of White-footed Mice (Peromyscus leucopus),Journal of Mammalogy,72,2,360--366,1991,http://dx.doi.org/10.2307/1382107,,,,,,Schug_1991
,Journal Article,DL00190_Howard,,"Howard, W. E.","Dispersal, amount of inbreeding, and longevity in a local population of Prairie Deermice on the George Reserve, southern Michigan",Contributions from the Laboratory of Vertebrate Biology of the University of Michigan,43,,1--52,1949,http://dx.doi.org/10.1086/397957,,,,,,Howard_1949
,Journal Article,DL00191_Boshe,,"Boshe, J. I.","Demographic characteristics of the warthog population in the Eastern Selous Game Reserve, Tanzania",African Journal of Ecology,22,1,43--47,1984,http://dx.doi.org/10.1111/j.1365-2028.1984.tb00672.x,,,,,,Boshe_1984
2832426,Journal Article,DL00193_Tavecchia,,"Tavecchia, G.; Pradel, R.; Boy, V.; Johnson, A. R.; Cezilly, F.",Sex- and age-related variation in survival and cost of first reproduction in Greater Flamingos,Ecology,82,1,165--174,2001,http://dx.doi.org/10.2307/2680094,,,,,,Tavecchia_2001
,Journal Article,DL00216_Wich,,"Wich, S. A.; Utami-Atmoko, S. S.; Setia, T. M.; Rijksen, H. D.; Sch_rmann, C.; van Schaik, C.",Life history of wild Sumatran Orangutans (Pongo abelii),Journal of Human Evolution,47,6,385--398,2004,http://dx.doi.org/10.1016/j.jhevol.2004.08.006,,,,,,Wich_2004
,Journal Article,DL00217_Banfield,,"Banfield, A. W. F.",A provisional life table for the Barren Ground Caribou,Canadian Journal of Zoology,33,3,143--147,1955,http://dx.doi.org/10.1139/z55-009,,,,,,Banfield_1955
1051-0761,Journal Article,DL00219_Tinker,,"Tinker, M. T.; Doak, D. F.; Estes, J. A.; Hatfield, B. B.; Staedler, M. M.; Bodkin, J. L.",Incorporating diverse data and realistic complexity into demographic estimation procedures for Sea Otters,Ecological Applications,16,6,2293--2312,2006,http://dx.doi.org/10.1890/1051-0761(2006)016[2293:iddarc]2.0.co;2,,,,,,Tinker_2006
,Journal Article,DL00220_Coulson,,"Coulson, J. C.; Wooller, R. D.",Differential survival rates among breeding Kittiwake Gulls Rissa tridactyla (L.),Journal of Animal Ecology,45,1,205--214,1976,http://dx.doi.org/10.2307/3775,,,,,,Coulson_1976
,Journal Article,DL00222_Caughley,,"Caughley, G.",Population statistics of Chamois,Mammalia,34,2,194--199,1970,http://dx.doi.org/10.1515/mamm.1970.34.2.194,,,,,,Caughley_1970
,Journal Article,DL00232_Pienaar,,"de V. Pienaar, U.","Observations on the developmental biology, growth and some aspects of population ecology of African Buffalo (Syncerus caffer caffer Sparrman) in the Kruger National Park",Koedoe,12,,29--52,1969,http://dx.doi.org/10.4102/koedoe.v12i1.745,,,,,,Pienaar_1969
0025-1461,Journal Article,DL00238_Saunders,,"Saunders, G.; Mcilroy, J.; Kay, B.; Gifford, E.; Berghout, M.; van de Ven, R.","Demography of foxes in central-western New South Wales, Australia",Mammalia,66,2,247--257,2002,http://dx.doi.org/10.1515/mamm.2002.66.2.247,,,,,,Saunders_2002
,Journal Article,DL00239_Burger,,"Burger, J.; Gochfeld, M.",Survival and reproduction in Peromyscus leucopus in the laboratory: viable model for aging studies,"Growth, Development & Aging",56,1,17--22,1992,http://dx.doi.org/10.1016/b978-0-08-024928-5.50049-x,,,,,,Burger_1992
,Journal Article,DL00240_Modha,,"Modha, K. L.; Eltringham, S. K.","Population ecology of the Uganda Kob (Adenota kob thomasi (Neumann)) in relation to the territorial system in the Rwenzori National Park, Uganda",Journal of Applied Ecology,13,2,453--473,1976,http://dx.doi.org/10.2307/2401795,,,,,,Modha_1976
,Journal Article,DL00241_Watson,,"Watson, R. M.","Reproduction of wildebeest, Conno-chaetes taurinus albojubatus Thomas, in the Serengeti region, and its significance to conservation.",Journal of Reproduction and Fertility Supplement,6,,287--310,1969,http://dx.doi.org/10.1530/jrf.0.0220557,,,,,,Watson_1969
,Journal Article,DL00242_Rogers,,"Rogers, L. M.; Cheeseman, C. L.; Mallinson, P. J.; Clifton-Hadley, R.",The demography of a high-density Badger (Meles meles) population in the west of England,Journal of Zoology,242,4,705--728,1997,http://dx.doi.org/10.1111/j.1469-7998.1997.tb05821.x,,,,,,Rogers_1997
,Journal Article,DL00244_Bernstein,,"Bernshtein, A. D.; Klevezal, G. A.",Age determination of Ochotona rutila and Ochotona macrotis,Zoologichesky Zhurnal,44,5,787--789,1965,http://dx.doi.org/10.3126/eco.v20i0.11332,,,,,,Bernsthein_1965
,Report,DL00245_Turner,,"Turner, F. B.; Berry, K. H.; Randall, D. C.; White, G. C.","Population Ecology of the Desert Tortoise at Goffs, California, 1983-1986 prepared for the Southern California Edison Company",,87,,1--101,1987,http://dx.doi.org/10.5962/bhl.title.59201,Research and Development,,,,,Turner_1987
,Journal Article,DL00246_Voituron,,"Voituron, Y. de Fraipont, M. Issartel, J. Guillaume, O. Clobert, J.",Extreme lifespan of the Human fish (Proteus anguinus): a challenge for ageing mechanisms,Biology letters,7,1,105--107,2011,http://dx.doi.org/10.1098/rsbl.2010.0539,,,,,,Voituron_2011
,Book Section,DL00247_Leslie,,"Leslie Jr., D. M. Douglas, C. L.","Desert Bighorn Sheep of the River Mountains, Nevada",,,66,3--53,1979,http://dx.doi.org/10.2307/1377877,Wildlife Monographs,,,Wildlife Society,,Jr. Leslie_1979
,Book Section,DL00248_Bradley,,"Bradley, W. G.; Palmer Baker, D.",Life tables for Nelson Bighorn Sheep on the Desert Game Range,,,,142--170,1967,http://dx.doi.org/10.2307/3797972,Desert Bighorn Council 1967 Transactions,,,,,Bradley_1967
,Conference Proceedings,DL00249_Heimer,,"Heimer, W. E.Watson, S. M.Smith, T. C.",Excess ram mortality in a heavily hunted Dall Sheep population,,4,,425--432,1984,http://dx.doi.org/10.7589/0090-3558-18.1.111,Proceedings of the Biennial Symposium of the Northern Wild Sheep and Goat Council,,,,,Heimer_1984
,Journal Article,DL00250_Capurro,,"Capurro, A. F.; Gatto, M.; Tosi, G.",Delayed and inverse density dependence in a chamois population of the Italian Alps ,Ecography,20,1,37--47,1997,http://dx.doi.org/10.1111/j.1600-0587.1997.tb00345.x,,,,,,Capurro_1997
,Journal Article,DL00251_Ainley,,"Ainley, D. G.; Demaster, D. P.",Survival and mortality in a population of adelie penguins,Ecology,61,3,522--530,1980,http://dx.doi.org/10.2307/1937418,,,,,,Ainley_1980b
,Journal Article,DL00252_Henny,,"Henny, CJ",Geographical Variation in Mortality Rates and Production Requirements of Barn Owl (Tyto alba ssp.),Bird Banding,40,4,277--290,1969,http://dx.doi.org/10.2307/4511602,,,,,,Henny_1969
,Journal Article,DL00253_Hellgren,,"Hellgren, EC; Synatzske, DR; Oldenburg, PW; Guthery, FS",Demography of a Collared Peccary Population in South Texas,Journal of Wildlife Management,59,1,153--163,1995,http://dx.doi.org/10.2307/3809128,,,,,,Hellgren_1995
,Journal Article,DL00254_Furnell,,"Furnell, D. J.; Schweinsburg, R. E.",Population dynamics of central Canadian Arctic island Polar Bears,The Journal of Wildlife Management,48,3,722--728,1984,http://dx.doi.org/10.2307/3801419,,,,,,Furnell_1984
,Journal Article,DL00255_Buehler,,"Buehler, D. A.; Fraser, J. D.; Seegar, J. K. D.; Therres, G. D.",Survival rates and population dynamics of Bald Eagles on Chesapeake Bay,The Journal of Wildlife Management,55,4,608--613,1991,http://dx.doi.org/10.2307/3809506,,,,,,Buehler_1991
,Journal Article,DL00256_Marker,,"Marker, L. L. Dickman, A. J.Jeo, R. M. Mills, M. G. L. Macdonald, D. W.","Demography of the Namibian Cheetah, Acinonyx jubatus jubatus",Biological Conservation,114,3,413--425,2003,http://dx.doi.org/10.1016/s0006-3207(03)00069-7,,,,,,Marker_2003
,Journal Article,DL00257_Kasbohm,,"Kasbohm, J. W. Vaughan, M. R. Kraus, J. G.",Effects of gypsy moth infestation on black bear reproduction and survival,The Journal of Wildlife Management,60,2,408--416,1996,http://dx.doi.org/10.2307/3802243,,,,,,Kasbohm_1996
,Journal Article,DL00258_Yodzis,,"Yodzis, P.; Kolenosky, G. B.",A Population Dynamics Model of Black Bears in Eastcentral Ontario,Journal of Wildlife Management,50,4,602--612,1986,http://dx.doi.org/10.2307/3800970,,,,,,Yodzis_1986
,Journal Article,DL00259_Wood,,"Wood, J. E.",Age structure and productivity of a Gray Fox population,Journal of Mammalogy,39,1,74--86,1958,http://dx.doi.org/10.2307/1376612,,,,,,Wood_1958
,Journal Article,DL00260_Lord,,"Lord, R. D., Jr.",A Population Study of the Gray Fox,American Midland Naturalist,66,1,87--109,1961,http://dx.doi.org/10.2307/2422869,,,,,,jr. Lord_1961
,Journal Article,DL00261_Brand,,"Brand, C. J. Keith, L. B.",Lynx demography during a Snowshoe Hare decline in Alberta,The Journal of Wildlife Management,43,4,827--849,1979,http://dx.doi.org/10.2307/3808267,,,,,,Brand_1979
,Journal Article,DL00262_Quinn,,"Quinn, N. W. S.; Thompson, J. E.",Dynamics of an Exploited Canada Lynx Population in Ontario,Journal of Wildlife Management,51,2,297--305,1987,http://dx.doi.org/10.2307/3801006,,,,,,Quinn_1987a
,Journal Article,DL00263_Nellis,,"Nellis, C. H.; Keith, L. B.","Population dynamics of Coyotes in central Alberta, 1964-68",The Journal of Wildlife Management,40,3,389--399,1976,http://dx.doi.org/10.2307/3799940,,,,,,Nellis_1976
,Journal Article,DL00264_Todd,,"Todd, A. W. Keith, L. B.",Coyote demography during a Snowshoe Hare decline in Alberta,The Journal of Wildlife Management,47,2,394--404,1983,http://dx.doi.org/10.2307/3808512,,,,,,Todd_1983
,Journal Article,DL00265_Yoneda,,"Yoneda, M.; Maekawa, K.",Effects of hunting on age structure and survival rates of Red Fox in eastern Hokkaido,The Journal of Wildlife Management,46,3,781--786,1982,http://dx.doi.org/10.2307/3808575,,,,,,Yoneda_1982
,Journal Article,DL00266_Bronikowski,,"Bronikowski, A. M.; Altmann, J.; Brockman, D. K.; Cords, M.; Fedigan, L. M.; Pusey, A.; Stoinski, T.; Morris, W. F.; Strier, K. B.; Alberts, S. C.",Aging in the natural world: comparative data reveal similar mortality patterns across primates,Science,331,6022,1325--1328,2011,http://dx.doi.org/10.1126/science.1201571,,,,,,Bronikowski_2011
,Journal Article,DL00267_Lack,,"Lack, D.",Do juvenile birds survive less well than adults?,British Birds,39,9,258--264,1946,http://dx.doi.org/10.4324/9781410610386,,,,,,Lack_1946
,Journal Article,DL00268_Dinerstein,,"Dinerstein, E. Price, L.",Demography and habitat use by Greater One-horned Rhinoceros in Nepal,The Journal of Wildlife Management,55,3,401--411,1991,http://dx.doi.org/10.2307/3808968,,,,,,Dinerstein_1991
,Journal Article,DL00269_Nixon,,"Nixon, C. M.; McClain, M. W.; Donohoe, R. W.",Effects of hunting and mast crops on a squirrel population,The Journal of Wildlife Management,39,1,1--25,1975,http://dx.doi.org/10.2307/3800460,,,,,,Nixon_1975
,Journal Article,DL00274_Kratochvil,,"Kratochvil, J.","Zur Kenntnis der Igel der Gattung Erinaceus in der CSSR (Insectivora, Mamm.)",Zoologicke Listy,24,4,297--312,1975,http://dx.doi.org/10.5962/bhl.part.17418,,,,,,Kratochvil_1975
,Journal Article,DL00275_Ahrestani,,"Ahrestani, F.; Iyer, S.; Heitkonig, I. M. A.; Prins, H. H. T.",Life-history traits of gaur Bos gaurus: a first analysis,Mammal Review,41,1,75--84,2011,http://dx.doi.org/10.1111/j.1365-2907.2010.00166.x,,,,,,Ahrestani_2011
,Journal Article,DL00276_Ha,,"Ha, JC; Robinette, RL; Sackett, GP","Demographic analysis of the Washington Regional Primate Research Center pigtailed macaque colony, 1967-1996",American Journal of Primatology,52,4,187--198,2000,http://dx.doi.org/10.1002/1098-2345(200012)52:4<187::aid-ajp3>3.0.co;2-c,,,,,,Ha_2000
,Journal Article,DL00278_Shirose,,"Shirose, L. J.; Brooks, R. J.","Age structure, mortality, and longevity in syntopic populations of three species of ranid frogs in central Ontario",Canadian Journal of Zoology,73,10,1878--1886,1995,http://dx.doi.org/10.1139/z95-220,,,,,,Shirose_1995
,Journal Article,DL00279_Yildiz,,"Yildiz, M. Z.; Gocmen, B.","Population dynamics, reproduction, and life history traits of Taurus Frog, Rana holtzi Werner, 1898 (Anura: Ranidae) in Karagöl (Uluküla, Niùde), Turkey",Herpetologica Romanica,6,,1--40,2012,http://dx.doi.org/10.18535/ijsrm/v5i9.10,,,,,,Yildiz_2012
,Journal Article,DL00280_Christens,,"Christens, E.; Bider, J. R.",Reproductive ecology of the Painted Turtle (Chrysemys picta marginata) in southwestern Quebec,Canadian Journal of Zoology,64,4,914--920,1986,http://dx.doi.org/10.1139/z86-138,,,,,,Christens_1986
,Journal Article,DL00281_Congdon,,"Congdon, J. D.; Nagle, R. D.; Kinney, O. M.; van Loben Sels, R. C.",Testing hypotheses of aging in long-lived painted turtles (Chrysemys picta),Experimental Gerontology,38,7,765--772,2003,http://dx.doi.org/10.1016/s0531-5565(03)00106-2,,,,,,Congdon_2003b
,Book,DL00282_Steffens,,"Steffens, R. Z_phel, U.Brockmann, D.",40 Jahre Fledermausmarkierungszentrale Dresden - methodische Hinweise und Ergebnis_bersicht,,,,1--125,2004,http://dx.doi.org/10.1007/978-3-322-95093-2_3,,,,S_chsisches Landesamt f_r Umwelt und Geologie,Dresden,Steffens_2004
,Journal Article,DL00283_Strijbosch,,"Strijbosch, H.; Creemers, R. C. M.",Comparative demography of sympatric populations of Lacerta vivipara and Lacerta agilis,Oecologia,76,1,20--26,1988,http://dx.doi.org/10.1007/bf00379595,,,,,,Strijbosch_1988
,Journal Article,DL00284_Tinkle,,"Tinkle, D. W.; Dunham, A. E.; Congdon, J. D.",Life-history and Demographic Variation in the Lizard Sceloporus Graciosus: A Long-Term Study,Ecology,74,8,2413--2429,1993,http://dx.doi.org/10.2307/1939592,,,,,,Tinkle_1993b
,Journal Article,DL00285_Bocci,,"Bocci, A.; Canavese, G.; Lovari, S.","Even mortality patterns of the two sexes in a polygynous, near-monomorphic species: is there a flaw?",Journal of Zoology,280,4,379--386,2010,http://dx.doi.org/10.1111/j.1469-7998.2009.00672.x,,,,,,Bocci_2010
,Journal Article,DL00286_Stirling,,"Stirling, I.; Calvert, W.; Andriashek, D.",Population ecology studies of the polar bear in the area of southeastern Baffin Island.,Canadian Wildlife Service Occasional Paper__,,Suppl 44,1--33,1980,http://dx.doi.org/10.14430/arctic1105,,,,,,Stirling_1980
,Journal Article,DL00287_Catchpole,,"Catchpole,E; Morgan, B; Freeman, S; Albon, S; Coulson, T",An integrated analysis of Soay sheep survival data,,,,1--46,1998,http://dx.doi.org/10.1111/1467-9876.00205,,,,University of Kent,,Catchpole_1998
,Journal Article,DL00288_Dyke,,"Dyke, B.; Gage, T. B.; Mamelka, P. M.; Goy, R. W.; Stone, W. H.","A demographic analysis of the Wisconsin Regional Primate Center rhesus colony, 1962-1982",American Journal of Primatology,10,3,257--269,1986,http://dx.doi.org/10.1002/ajp.1350100306,,,,,,Dyke_1986
,Journal Article,DL00289_Ericsson,,"Ericsson, G.; Wallin, K.",Age-specific moose (Alces alces) mortality in a predator-free environment: Evidence for senescence in females,Ecoscience,8,2,157--163,2001,http://dx.doi.org/10.1080/11956860.2001.11682641,,,,,,Ericsson_2001
0 521 242711,Book,DL00290_LeaderWilliams,,"Leader-Williams, N.",Reindeer on South Georgia - The ecology of an introduced population,,,,1--319,1988,http://dx.doi.org/10.7557/2.2.2.405,,,,Cambridge University Press,New York etc.,Leader-Williams_1988
,Journal Article,DL00291_Bertram,,"Bertram, B. C. R.",Social Factors Influencing Reproduction in Wild Lions,Journal of Zoology,177,,463--482,1975,http://dx.doi.org/10.1111/j.1469-7998.1975.tb02246.x,,,,,,Bertram_1975
,Journal Article,DL00292_Wich,,"Wich, S. A.; Utami-Atmoko, S. S.; Setia, T. M.; Rijksen, H. D.; Schurmann, C.; van Schaik, C.",Life history of wild Sumatran orangutans (Pongo abelii),Journal of Human Evolution,47,6,385--398,2004,http://dx.doi.org/10.1016/j.jhevol.2004.08.006,,,,,,Wich_2004
,Journal Article,DL00293_Wich,,"Wich, S. A.; Shumaker, R. W.; Perkins, L.; de Vries, H.",Captive and wild orangutan (Pongo sp.) survivorship: a comparison and the influence of management,American Journal of Primatology,71,8,680--686,2009,http://dx.doi.org/10.1002/ajp.20704,,,,,,Wich_2009
,Journal Article,DL00294_Wich,,"Wich, S. A.; Steenbeek, R.; Sterck, E. H. M.; Korstjens, A. H.; Willems, E. P.; van Schaik, C. P.",Demography and life history of Thomas langurs (Presbytis thomasi),American Journal of Primatology,69,6,641--651,2007,http://dx.doi.org/10.1002/ajp.20386,,,,,,Wich_2007
,Journal Article,DL00295_Sayer,,"Sayer, J. A.; van Lavieren, L. P.",The ecology of the Kafue lechwe population of Zambia before the operation of hydro-electric dams on the Kafue River,African Journal of Ecology,13,1,9--37,1975,http://dx.doi.org/10.1111/j.1365-2028.1975.tb00121.x,,,,,,Sayer_1975
0-309-08718-X,Book Section,DL00296_Altmann,,"Altmann, J.; Alberts, S. C.",Intraspecific variability in fertility and offspring survival in a nonhuman primate: behavioral control of ecological and social sources,,,,140--169,2003,http://dx.doi.org/10.1007/s00265-004-0870-x,Offspring: human fertility behavior in biodemographic perspective,6,"Wachter, K. W. & Bulatoto, R. A.",National Academic Press,,Altmann_2003
0-906975-23-9,Journal Article,DL00297_Olesiuk,,"Olesiuk, P. F.; Bigg, M. A.; Ellis, G. M.",Life history and population dynamics of resident killer whales (Orcinus orca) in the coastal waters of British Columbia and Washington State.,Report of the International Whaling Commission Special Issue,12,,209--243,1990,http://dx.doi.org/10.1111/mms.12049,,Life Histo,"Hammond, P S; Mizroch, A S & DONOVAN, G P",California,,Olesiuk_1990
,Journal Article,DL00298_Schmidt,,"Schmidt, K.",Langzeitstudie zur Altersstruktur einer Population der Dohle Coloeus monedula in S_dwest-Th_ringen mit Hilfe der Farbberingung,Vogelwarte,50,3,169--176,2012,http://dx.doi.org/10.1007/978-3-322-88023-9_5,,,,,,Schmidt_2012
,Book,DL00299_Grant,,"Grant, PR",Ecology and evolution of Darwin's finches.,,,,1--458,1986,http://dx.doi.org/10.1515/9781400886715,,,,"Princeton University Press, Princeton, New Jersey",,Grant_1986
0-226-42463-4,Book Section,DL00300_Alberts,,"Alberts, S. C.; Altmann, J.",Matrix models for primate life history analysis,,,,66--102,2003,http://dx.doi.org/10.1007/0-387-33674-5_12,Primate life histories and socioecology,4,"Kappeler, P. M. & Pereira, M. E.",The University Chicago Press,,Alberts_2003
,Journal Article,DL00301_Ransome,,"Ransome, R. D.",Population changes of Greater horseshoe Bats studied near Bristol over the past twenty-six years,Biological Journal of the Linnean Society,38,1,71--82,1989,http://dx.doi.org/10.1111/j.1095-8312.1989.tb01564.x,,,,,,Ransome_1989
978-0-226-54223-2,Book Section,DL00302_Lee,,"Lee, P. C; Lindsay, W. K.; Moss, C. J.",Ecological patterns of variability in demographic rates,,,,74--88,2011,http://dx.doi.org/10.7208/chicago/9780226542263.003.0006,The Amboseli elephants - a long-term perspective on a long-Lived mammal,6,"Moss, C. J.; Croze, H. & Lee, P. C.",The University Chicago Press,,Lee_2011
978-0-226-54223-2,Book Section,DL00303_Moss,,"Moss, C. J.; Lee, P. C.",Female reproductive strategies: individual life histories,,,,187--204,2011,http://dx.doi.org/10.7208/chicago/9780226542263.003.0012,The Amboseli elephants - a long-term perspective on a long-Lived mammal,12,"Moss, C. J.; Croze, H. & Lee, P. C.",The University Chicago Press,,Moss_2011
,Journal Article,DL00305_Clubb,,"Clubb, R.; Rowcliffe, M.; Lee, P.; Mar, K. U.; Moss, C.; Mason, G. J.",Compromised survivorship in zoo elephants,Science,322,5908,1649,2008,http://dx.doi.org/10.1126/science.1164298,,,,,,Clubb_2008
,Journal Article,DL00306_Pardo,,"Pardo, D.; Barbraud, C.; Authier, M.; Weimerskirch, H.",Evidence for an age-dependent influence of environmental variations on a long-lived seabird's life-history traits,Ecology,94,1,208--220,2013,http://dx.doi.org/10.1890/12-0215.1,,,,,,Pardo_2013
978-0-387-96189-7,Book Section,DL00307_Dobson,,"Dobson, A. P.",Age-dependent mortality rates of some common British birds,,,,275--288,1985,http://dx.doi.org/10.1007/978-1-4612-5138-5_19,Statistics in Ornithology,,,Springer-Verlag,,Dobson_1985
,Journal Article,DL00308_Kruger,,"Krüger, O.; Grünkorn, T.; Struwe-Juhl, B.",The return of the white-tailed eagle (Haliaeetus albicilla) to northern Germany: Modelling the past to predict the future,Biological Conservation,143,3,710--721,2010,http://dx.doi.org/10.1016/j.biocon.2009.12.010,,,,Elsevier Ltd,,Kruger_2010
,Journal Article,DL00309_Reichert,,"Reichert, B. E.; Martin, J.; Kendall, W. L.; Cattau, C. E.; Kitchens, W. M.",Interactive effects of senescence and natural disturbance on the annual survival probabilities of snail kites,Oikos,119,,972--979,2010,http://dx.doi.org/10.1111/j.1600-0706.2010.18366.x,,,,,,Reichert_2010
,Journal Article,DL00310_Acker,,"Acker, P. M.; Kruse, K. C.; Krehbiel, E. B.",Aging Bufo americanus by skeletochronology,Journal of Herpetology,20,4,570--574,1986,http://dx.doi.org/10.2307/1564257,,,,,,Acker_1986
,Journal Article,DL00311_Morbey,,"Morbey, Y. E.; Brassil, C. E.; Hendry, A. P. ",Rapid Senescence in Pacific Salmon,The American Naturalist,166,5,556--568,2005,http://dx.doi.org/10.1086/491720,,,,,,Morbey_2005
0-226-08699-2,Book,DL00312_Byers,,"Byers, J. A.",American Pronghorn: social adaptations and the ghosts of predators past,,,,1--300,1997,http://dx.doi.org/10.1086/393050,,,,The University Chicago Press,,Byers_1997
,Journal Article,DL00313_Ballinger,,"Ballinger, R. E.",Comparative demography of two viviparous iguanid lizards (Sceloporus jarrovi and Sceloporus poinsetti),Ecology,54,2,269--283,1973,http://dx.doi.org/10.2307/1934336,,,,,,Ballinger_1973
,Journal Article,DL00314_Ballinger,,"Ballinger, R. E.; Congdon, J. D.",Population Ecology and Life-History Strategy of a Montane Lizard (Sceloporus scalaris) in Southeastern Arizona,Journal of natural history,15,2,213--222,1981,http://dx.doi.org/10.1080/00222938100770171,,,,,,Ballinger_1981b
,Journal Article,DL00315_Baron,,"Baron, J. P.; le Galliard, J. F.; Tully, T.; Ferriere, R.",Cohort variation in offspring growth and survival: prenatal and postnatal factors in a late-maturing viviparous snake,Journal of Animal Ecology,79,3,640--649,2010,http://dx.doi.org/10.1111/j.1365-2656.2010.01661.x,,,,,,Baron_2010
,Journal Article,DL00317_Briggs,,"Briggs, J. L.; Storm, R. M.","Growth and population structure of the Cascade Frog, Rana cascadae Slater",Herpetologica,26,3,283--300,1970,http://dx.doi.org/10.2307/1563362,,,,,,Briggs_1970
,Journal Article,DL00318_Paludan,,"Paludan, K",Partridge markings in Denmark,Danish Review of Game Biology,4,,25-28,1963,http://dx.doi.org/10.1787/eco_surveys-dnk-1963-en,,,,,,Paludan_1963
,Journal Article,DL00319_Carranza,,"Carranza, J.; S. Alarcos; C. B. Sanches-Prieto; J. Valencia; C. Mateos",Disposable-soma senescence mediated by sexual selection in an ungulate,Nature,432,,215--218,2004,http://dx.doi.org/10.1038/nature03004,,,,,,Carranza_2004
,Journal Article,DL00320_Catchpole,,"Catchpole, E. A.; Fan, Y.; Morgan, B. J. T.; Clutton-Brock, T. H.; Coulson, T.","Sexual dimorphism, survival and dispersal in Red Deer","Journal of Agricultural, Biological and Environmental Statistics",9,1,1--26,2004,http://dx.doi.org/10.1198/1085711043172,,,,,,Catchpole_2004
,Journal Article,DL00321_Cowan,,"Cowan, D. P.; Roman, E. A.",The construction of life-tables with special reference to the European wild rabbit (Oryctolagus cuniculus),Notes from the Mammal Society (in Journal of Zoology),52,4,607--609,1985,http://dx.doi.org/10.1111/j.1469-7998.1985.tb04955.x,,,,,,Cowan_1985
,Journal Article,DL00322_Dazey,,"Dazey, J.; Erwin, J.","Infant mortality in Macaca nemestrina: Neonatal and post-neonatal mortality at the Regional Primate Research Center Field Station, University of Washington, 1967-1974",Theriogenology,5,6,267--279,1976,http://dx.doi.org/10.1016/0093-691x(76)90143-6,,,,,,Dazey_1976
978-1-59726-170-8,Book,DL00323_FestaBianchet,,"Festa-Bianchet, M.; Cote, S. D.","Mountain Goats: ecology, behavior, and conservation of an alpine ungulate",,,,1--265,2008,http://dx.doi.org/10.3375/0885-8608(2008)28[431:mgebac]2.0.co;2,,,,Island Press,,Festa-Bianchet_2008
,Journal Article,DL00324_Krasinski,,"Krasinski, Z. A.",Dynamics and structure of teh European Bison population in the Bialowieza Primeval Forest,Acta Theriologica,23,1,3--48,1978,http://dx.doi.org/10.1007/978-3-642-36555-3_7,,,,,,Krasinski_1978
,Journal Article,DL00325_Jones,,"Jones, R O.; Gaillard, J. M.; Tuljapurkar, S.; Alho, J. S; Armitage, K. B.; Becker, P. H.; Bize, P.; Brommer, J.; Charmantier, A.; Charpentier, M.; Clutton-Brock, T.; Dobson, F. S.; Festa-Bianchet, M.; Gustafsson, L.; Jensen, H.; Jones, C. G.; Lillandt, B. G.; McCleery, R.; Meril_, J.; Neuhaus, P.; Nicoll, M. A. C.; Norris, K.; Oli, M. K.; Pemberton, J.; Pieti_inen, H.; Ringsby, T. H.; Roulin, A.; Saether, B. E.; Setchell, J. M.; Sheldon, B. C.; Thompson, P. M.; Weimerskirch, H.; Wickings, E. J.; Coulson, T.",Senescence rates are determined by ranking on the fast-slow life-history continuum.,Ecology Letters,11,7,664--673,2008,http://dx.doi.org/10.1111/j.1461-0248.2008.01187.x,,,,,,Jones_2008
,Journal Article,DL00326_Chen,,"Chen, J.; Lewis, E. E.; Carey, J. R.; Caswell, H.; Caswell-Chen, E. P.",The ecology and biodemography of Caenorhabditis elegans.,Experimental Gerontology,41,10,1059--1065,2006,http://dx.doi.org/10.1016/j.exger.2006.07.005,,,,,,Chen_2006
,Journal Article,DL00327_Carey,,"Carey, J. R.; Liedo, P.; Muller, H. G.; Wang, J.-L.; Chiou, J.-M. ","Relationship of age patterns of fecundity to mortality, longevity, and lifetime reproduction in a large cohort of Mediterranean Fruit Fly females",The Journals of Gerontology Series A Biological Sciences,53,4,B245--B251,1998,http://dx.doi.org/10.1093/gerona/53a.4.b245,,,,,,Carey_1998
